https://www.uber.com/careers/list/131977,"Senior Sales Ops Analyst, Uber for Business",,Sales Operations,Operations ,"Gurgaon, India","The Sales and Operations team's mission is to be the primary support function for our GTM teams globally. We support and enable frontline GTM teams to sell & service more efficiently and effectively by providing strategic direction and reducing friction in the GTM process.The right candidate will help us deliver more visibility, direction, forecasting, data processing (SQL), and strategic oversight on target setting, account prioritization, share of wallet penetration, and pipeline management to unlock more Gross Bookings for Uber for Business.","Pipeline and Forecast: Contribute to sales planning, semi-annual quota planning, and other planning cadences in partnership with Finance, Strategy & Planning, SalesOps and Sales teams to ensure achievement of revenue and key operating metrics.. Strategy: Partner with sales leadership to set performance targets for sales teams. Help build MBRs/QBRs with leadership, optimally communicate analysis results. Establish and manage key sales performance dashboards.. Stakeholder management: Partner closely with senior sales leaders and cross functional partners to align on strategy.. Analytics: Provide analytical and operational support to continuously improve our forecasting and pipeline management and sales insights.","8+ years of work experience with 3 years of relevant experience in Sales Operations, preferably in a fast-growing B2B environment.. Bachelor's degree or equivalent (Business Administration, Economics, Mathematics, Finance, Accounting, etc.).. Profiles with background in Strategy Consulting firms,  Investment Banks or Global Tech players might also be considered.. You are technical and proficient in data. Whether it's analyzing data sets with tools like Tableau or SQL queries, or crafting models and prototype tools, data is a core part of your toolkit. Excellent Excel modeling skills, particularly as it pertains to financial modeling.",
https://www.uber.com/careers/list/132037,Staff Software Engineer (Backend),230000.0,Backend,Engineering,"San Francisco, California   |   Sunnyvale, California","Discovery Serving team is a part of the Delivery Platform and is responsible for the development, reliability, and scalability of Discovery Serving stack! Systems we build power UberEats home feed, search, and other critical use cases!What the Candidate Will Need / Bonus Points---- ","Build scalable innovative Discovery&Search platform for UberEats.. Build complex software systems that have been successfully delivered to customers.. Communicate with clients, other technical teams, and management to collect requirements, describe software product features, and technical designs.. Challenge engineers to design innovative, highly-scalable, and robust systems.. Grow, coach, and develop software engineers.","7+ years of software engineering experience.. Experience in hands-on software development with thoughtfulness of scale, latency and distributed architecture.. Highly efficient coding in Golang, Java or any similar languages.. Solid execution.. Solid systems design skills.",Experience building platforms.. Experience working in Discovery/Search domain.
https://www.uber.com/careers/list/130849,"Associate, Strategic Finance",,Strategic Finance,Finance &amp; Accounting ,"Amsterdam, Netherlands",,"Financial planning and analysis: work closely with the finance organization and with regional business leaders to develop financial forecasts and operational goals, apply business judgment and financial insights to help with decision making;. Sophisticated financial modeling: build models from scratch, improve existing models, and break sophisticated models down into components that consolidate;. Think strategically and implement: the models we build aid in decision making and strategy - we operationalize our insights and support everyday execution;. Monthly close: analyze variances between actuals, forecast, and plan - use insights to iterate on forecasts and build/discuss potential action plans with cross-functional customers;. Operational improvement: help improve our planning processes and ensure finance standard methodologies spread through the organization. Collaborate with Accounting to provide input on management reporting needs and better understand our actuals;. Business optimization: support initiatives that optimize our global P&L. Partner with the Senior Finance Management to provide financial insights and assess the company's overall progress towards its strategic objectives;. Innovate: we will push the boundaries beyond traditional forecasting. Be creative, adaptive, and eager to learn new technical abilities;. Special projects: new initiatives always come up, you will have the chance to contribute beyond regular modeling.","BS/BA in Finance, Accounting, Economics, Engineering, or similar;. 3+ years in Banking, Corporate finance or operational FP&A role at either a high-growth company or a large, well-established organization;. Elite Excel/Google Sheet skills: Standard methodologies are second-nature, your models are efficient, scalable and intuitive;. Excellent communication and people skills: numbers are key, but a business is built with people;. Self-starter: take initiative, be dedicated, set and drive toward goals;. Systems: proven understanding of enterprise-level financial planning systems;. Attention to detail: consistent with swift and high quality execution. We do things quickly, and we need to do them well. Striking that balance can be daring and this should be a strength of yours.","Good understanding of US GAAP;. SQL skills: the ability to self-serve, investigate and get the data we require will make you much more effective in tackling this role;. CFA or CPA."
https://www.uber.com/careers/list/132463,Community Support Specialist (Polish Speaker),,Community Operations ,,"Krakow, Poland",,,,
https://www.uber.com/careers/list/131509,Sr Staff Engineer,266000.0,Backend,Engineering ,"San Francisco, California","Are you passionate about creating platforms for earners around the world to thrive? Uber's Earner Progression team invests in earner quality, retention, and loyalty. Each of our earners defines success on Uber differently, and we’re building a platform that enables earners on the platform to improve their potential & goals through a more personalized approach! We build with a heart for each Earner to drive career progression, long-term retention, and a positive Uber relationship. This role will require a compassionate understanding of earner needs, an economic perspective, and an analytical approach to understanding marketplace & pricing dynamics!","Lead the design, development, and deployment of scalable and reliable backend systems for Earner Experience team. Collaborate with cross-functional teams including data scientists, product managers, and other engineering teams to deliver end-to-end solutions.. Develop and enhance our platform infrastructure to support advanced analytics and experimentation capabilities.. Implement robust developer and testing infrastructure to streamline development workflows and ensure high-quality code.. Drive continuous improvement in system architecture and operational excellence, with a focus on performance, scalability, and maintainability.. Stay current with the latest technologies and industry trends, evaluating and integrating new tools and methodologies as appropriate.. Mentor and provide technical guidance to junior engineers, fostering a culture of innovation and excellence within the team.","Bachelor's degree in Computer Science or related technical field or equivalent practical experience. Proficiency in one or more programming languages such as Java, C++, Python, or Go.. Strong experience with distributed systems and microservices architecture. Proven track record in designing and implementing large-scale, high-performance systems.. Experience with data analytics and experimental design in an engineering context.. Excellent problem-solving skills and the ability to think critically and creatively.. Strong collaboration and communication skills; ability to influence others within your team and outside your team.","10+ years of experience in hands-on software development with the thoughtfulness of scale, latency, and distributed architecture.. Highly efficient coding in Golang, Java or any similar languages.. Comfortable dealing with system complexity. Strong background in data analytics tools such as Hive, or similar.. Familiarity with CI/CD pipelines and testing frameworks.. Demonstrated leadership skills, with experience in mentoring and guiding junior engineers.. Proven experience of shipping high-quality product features on schedule and with high velocity. Great sense of ownership"
https://www.uber.com/careers/list/132507,Content Designer II - U4B,154000.0,Product Design,Design ,"San Francisco, California","We’re seeking a Content Designer II to help shape the future of Uber for Business (U4B), which provides companies of all sizes with all the benefits of Uber, reimagined for business.In this role, you’ll use meticulously crafted language to help customers reach their goals, collaborating with cross-functional teams to develop innovative, functional, and delightful experiences that solve big design challenges. You'll play an integral role in crystallizing project vision and strategy, and you’ll develop content guidelines and other tools to grow the practice of content design at Uber.What You ","Write interface copy in our apps, which not only propel digital experiences, but also physical ones. Build compelling long-term strategies that allow content to scale globally. Use metrics and research to inform and validate your work. Collaborate with visual designers, engineers, product managers, product marketers, and many others to bring your creations to life. Partner with legal, localization, and support to ensure your creations are appropriately and responsibly launched. Work closely with our research team to get outside the office and better understand the needs of our consumers, couriers, and merchant partners",3+ years of relevant experience. A portfolio of samples that demonstrate your skill and efficiency as a Content Designer,"Degree in English, Communication, Psychology, Design, Marketing, Advertising, Journalism, or any area that emphasizes storytelling and critical thinking. Background in user experience or product design. Copywriting or content strategy experience in other environments is also useful, as long as you can articulate how your approach would adapt to the world of apps. Ability to express your ideas clearly in (very concise) writing. Confidence to pitch ideas to cross-functional partners and an understanding of when it makes sense to push back. Ability to strategically prioritize multiple projects. Appetite for problem solving in a landscape that evolves quickly. Experience writing spoken dialog or designing conversational or multichannel interactions"
https://www.uber.com/careers/list/132026,"Program Manager, ESG",130500.0,CLO,Legal,"New York, New York   |   San Francisco, California   |   Washington, District of Columbia","At Uber, as part of our ESG vision, we are working to become a more equitable, sustainable, and profitable company by responsibly applying our ESG principles into value-led business decision-making to cultivate long-term value for all our stakeholders. As a global company, we are constantly evaluating risks and opportunities, both internal and external. We recognize that various ESG factors can affect our business, and we understand the impact our business can have on society and our stakeholders. By working to align our material ESG priorities with the interests of our business and stakeholders, we aim to apply the appropriate governance, engagement, and thoughtfulness to our approach, which we believe helps enable us to protect and deliver economic value and continual long-term growth.To do so, we have created a dedicated and centralized ESG team that works cross-functionally with various internal experts to further our vision, deliver on our goals, and continually improve our ESG-related disclosures and engagements under the direction of Uber’s Head of ESG Strategy & Engagement.As regulations continue to emerge globally with evolving investor expectations, reporting requirements, and company priorities, we are looking for a candidate to assist in project managing various elements of our overall ESG program coupled with support to Uber’s Head of ESG Strategy & Engagement. This is a unique opportunity to be part of the core team that will manage, grow, and fulfill these commitments across our whole business. You will be able to work with dynamic teams across the company and external experts outside of Uber. You will shape and deliver on existing and non-existing programs and drive centralized processes that drive the long-term direction of ESG at Uber.","Support Uber’s Head of ESG Strategy & Engagement in preparing for engagements with executive leadership, including Uber’s board of directors.. Work closely with global cross-functional leads on ESG projects and other initiatives.. Assist with preparing presentations for Uber’s Board of Directors, business partners, external engagements, and other ad hoc presentation assignments.. Support mega-regional and functional ESG programming to deliver on key projects such as Uber’s annual ESG Report, ad hoc ESG reporting and disclosures, global and regulatory disclosure alignment, ESG rater and ranker surveys, and others as assigned.. Project manage ESG forums, including ESG Steerco and ESG working group, and others as they emerge.. Work closely with ESG leads to ensure all ESG data and narrative dashboards are maintained and used in appropriate forums.. Support external-facing customer-driven questionnaires and requirements.. Produce high-quality projects and deliverables, maintain key communication channels, and produce ad hoc updates as required.","Minimum 8+ years of experience in program management, executive assistant, or relevant experience.","ESG experience is a plus but not required!. Proven ability to track complex projects across the team and keep people focused on mission and deadlines.. The ability to juggle multiple projects simultaneously in an exciting, fast-paced environment, collaborating as a team to stay in sync and working independently to get the job done.. Strong interpersonal skills and highly collaborative with business leaders and cross-functional partners, with a strong ability to build relationships, gain credibility, and partner with others.. Technical know-how with at least an intermediate level of computer skills, including a working knowledge of Google suite, Excel, Word, Adobe, Box and other web-based applications.. Self-motivation with a strong affinity for vision setting, strategic problem solving, and driving action.. Embody the highest standards of integrity, ethics, and accountability.. Enthusiastic about Uber and the opportunity to have a big impact!"
https://www.uber.com/careers/list/132799,,,,,,,,,
https://www.uber.com/careers/list/131331,Safety Investigations Specialist I,,Community Operations ,,"Limerick, Ireland",,"Deliver high-quality service across multiple support platforms including phone and messaging.. Handle sensitive issues with compassion and empathy, both through written and verbal communication.. Provide support and reassurance during unforeseen incidents such as accidents or altercations.. Be a hardworking advocate for users while answering any questions that come your way.. Show compassion to frustrated users while solving problems and addressing unsatisfactory experiences.. Lead a high volume caseload by being organised and a subject matter expert in safety.. Have keen eye for detail and strong sense of doing the right thing.. Triage issues and raise them when vital.. Be a great teammate through engagement and ownership.","Support experience in a high-volume environment, including service industries, retail, hospitality or other support environments.. Experience in escalated customer service or relevant prior experience investigating urgent and high-priority issues including accidents allegations and handling sensitive information.. Excellent interpersonal skills and ability to establish trust and effective working relationships with others on an external and internal basis.. Dedication to excellence in behavior, performance and work product.. Ability to adjust and adapt in a dynamic work environment.. High proficiency using computers (typing, quickly navigating between various tools). Exceptional reading comprehension and writing skills. Ability to connect what users are asking for with answers to their true issues.. Passion for helping others and creating support experiences that exceed users' expectations!. Skilled at handling multiple issues at once to efficiently solve a large number of inquiries.. Must work well in a team environment, contributing to a collaborative work environment where people learn from one another and continuously improve processes on behalf of users.. Customer support experience via messaging and phone and a consistent record of meeting KPIs.. Work time will be shift based, averaging 40 hours a week over a two week period.. Weekend and weekly evening shifts are required.",Experience working in safety investigations.. A bachelor's degree in a relevant field.
https://www.uber.com/careers/list/132238,Driver Operations Manager,,Operations ,,"Tokyo, Japan",,Lead the implementation of new driver and fleet products/features. Provide business and operational insights to the regional and global teams to initiate product improvements.. Derive analytical insights to drive taxi and rideshare supply growth and engagement improvements.. Provide analytical support for external legislative works related to taxi and rideshare.,"Preferably three or more years of experience working with products and/or analytics in a fast-moving environment.. Sound analytical skills that can develop deep insights and recommend data-driven solutions and decisions.. Clear communication that enables you to work effectively in cross-functional and cross-cultural environments.. Bilingual in Japanese and English. Creative, solutions-driven mindset - You have a “get things done” attitude and willingness to get “in the trenches” to work with our stakeholders to develop creative solutions to challenges that haven’t been addressed before.. SQL proficiency is a plus",
